"WIND","IND","RAIN","IND.1","T.MAX","IND.2","T.MIN","T.MIN.G"
15.63,0,0.6,0,0.428,1,0.315,-3.8
15.92,0,0.9,0,0.357,0,0.496,2.7
12.75,0,3.5,0,0.375,0,0.470,1.8
10.46,0,0,0,0.498,0,0.470,-0.3
6.83,0,0.1,0,0.357,0,0.541,4
19.75,0,0.5,0,0.454,0,0.641,7
8.29,0,1.2,0,0.454,0,0.559,2.1
3.5,0,0,0,0.420,0,0.641,7.3
4.42,0,0,0,0.401,0,0.352,-2.7
12.58,0,0.2,0,0.420,0,0.400,0.1
16.25,0,0,0,0.439,0,0.704,8.8
14.75,0,0.5,0,0.361,0,0.656,7.8
5.5,0,0.2,0,0.286,0,0.519,3.8
7.29,0,0,0,0.301,0,0.396,-0.6
9.42,0,0.3,0,0.271,0,0.393,-0.4
10.41,0,3,0,0.349,1,0.315,-5.1
18,0,0.6,0,0.193,0,0.474,0.1
16.46,0,0,0,0.167,1,0.315,-2.5
10.37,0,0.1,0,0.167,1,0.267,-3.8
10.54,0,0.5,0,0.238,1,0.304,-5.4
8.42,0,0,0,0.290,0,0.474,1.6
12.96,0,0.5,0,0.476,0,0.522,5.1
4,0,0,0,0.375,0,0.522,1.6
5.96,0,0,0,0.271,0,0.393,-2
5.09,0,0,0,0.327,0,0.459,0.4
4.88,0,0,0,0.290,0,0.507,4.6
7.41,0,0,0,0.253,0,0.522,4.5
4.71,0,0,0,0.316,0,0.470,1.1
8.42,0,0.1,0,0.357,0,0.470,4
12.96,0,0,0,0.346,0,0.563,4.5
10.13,0,0,0,0.394,0,0.581,4.5
4.79,0,0,0,0.375,0,0.537,3.6
8.96,0,0,0,0.428,1,0.315,-5.5
4.17,0,0,2,0.416,0,0.352,-3.8
20.25,0,1,0,0.286,0,0.474,2.2
16.42,0,1.3,2,0.361,0,0.567,5.4
19.67,0,0.3,0,0.145,0,0.419,0
14,0,0.3,0,0.309,0,0.333,-1.4
16.54,0,0.4,0,0.249,0,0.467,2.1
9.59,0,1.2,0,0.286,0,0.344,-2.2
15.92,0,0.9,0,0.238,0,0.437,1.6
9.87,0,5.3,0,0.454,0,0.433,0.5
16.08,0,0.3,0,0.431,0,0.444,1.2
10.41,0,0,0,0.309,0,0.389,-0.5
5.71,0,0,0,0.283,1,0.230,-7.1
4.92,0,0,0,0.104,1,0.252,-7.2
7,0,5.1,0,0.108,1,0.193,-7.7
12.38,0,6,0,0.190,1,0.267,-1.8
11.92,0,3.4,0,0.167,1,0.330,-2.7
7.79,0,0,0,0.130,0,0.352,-1.5
13.62,0,0,0,0.123,1,0.067,-11.1
16.21,0,0,0,0.268,0,0.415,-2.2
15.83,0,0.1,0,0.294,0,0.396,-1.6
14.46,0,0.3,0,0.316,0,0.481,4.1
14.42,0,4,0,0.442,0,0.511,3.8
20.21,0,2.3,0,0.502,0,0.581,5.6
9.96,0,0.2,0,0.439,0,0.641,7.7
17.88,0,0,0,0.480,0,0.559,6.2
17.5,0,1,0,0.442,0,0.600,6.2
13.33,0,3.7,0,0.342,0,0.559,4.4
17.33,0,0.5,0,0.424,0,0.511,4.4
5.66,0,0,0,0.312,1,0.274,-4.8
6.67,0,0.1,0,0.439,0,0.367,-1.6
11.46,0,0.7,0,0.454,1,0.233,-6.2
13.92,0,0.1,0,0.461,0,0.504,4.8
16.62,0,2,0,0.465,0,0.578,6.1
13.17,0,4.7,0,0.379,0,0.578,1.2
12.42,0,0,0,0.502,0,0.578,5.5
7.54,0,0,0,0.428,0,0.511,4.8
4.33,0,0,0,0.383,0,0.333,-4
4.17,0,0,0,0.257,0,0.430,-2.2
4.79,0,0,0,0.454,1,0.256,-5.4
19.55,0,0.4,0,0.428,0,0.533,5.4
7.62,0,2.9,0,0.476,0,0.496,4.4
13.92,0,0.2,0,0.379,0,0.481,3.4
9.83,0,1.5,0,0.297,0,0.415,0.5
8.67,0,0,0,0.364,1,0.296,-4.8
9.38,0,0,0,0.297,0,0.356,-1.6
6.83,0,0,0,0.420,1,0.252,-5.4
14.46,0,0.1,0,0.480,0,0.574,3.4
15.37,0,1.2,0,0.476,0,0.419,0.5
12.96,0,0,0,0.506,0,0.541,3.8
13.37,0,2.6,0,0.539,0,0.500,1.1
14.96,0,0.4,0,0.420,0,0.459,1.7
13.67,0,0.7,2,0.528,0,0.485,2.6
18.75,0,3.2,0,0.569,0,0.659,7.7
11.67,0,0.8,0,0.524,0,0.644,7.2
13.88,0,1.3,0,0.539,0,0.541,2.2
23.09,0,0.9,0,0.457,0,0.637,7.5
12.25,0,0,0,0.517,0,0.481,1.4
15.59,0,0.1,0,0.580,0,0.704,7.5
20.33,0,0.8,0,0.532,0,0.667,5.6
13.42,0,1.1,0,0.543,0,0.619,5.5
14.42,0,0.5,0,0.684,0,0.474,-0.2
13.96,0,0,0,0.621,0,0.474,-0.2
19.33,0,0.8,0,0.498,0,0.644,6.3
11.38,0,5,2,0.509,0,0.511,2.2
14.5,0,3.4,0,0.561,0,0.619,7.2
7.62,0,0,0,0.480,0,0.433,-1.2
7,0,0.2,2,0.450,0,0.533,0.6
4.96,0,4.1,0,0.435,0,0.356,-4.1
8.38,0,1.1,0,0.580,0,0.644,7.2
9.29,0,0.4,0,0.587,0,0.741,8.3
5.13,0,0,0,0.524,0,0.556,0.5
5.63,0,0,0,0.636,0,0.419,-0.7
8.25,0,2.5,0,0.480,0,0.581,5.1
6.13,0,0,0,0.639,0,0.704,7.2
8.54,0,0.8,0,0.606,0,0.756,10.7
5.09,0,0.3,0,0.636,0,0.744,11.2
6.46,0,0,0,0.643,0,0.785,10.6
8.5,0,0.7,0,0.587,0,0.752,8.5
5.17,0,3.4,0,0.621,0,0.722,10.5
2.67,0,0.1,0,0.602,0,0.763,11.2
6.46,0,0,0,0.621,0,0.744,9.6
10.92,0,0,0,0.621,0,0.730,10.1
13.96,0,0.1,0,0.613,0,0.759,10.1
8.17,0,0.2,0,0.636,0,0.726,10.4
4.46,0,0.9,0,0.561,0,0.644,4.7
4.79,0,0.3,0,0.584,0,0.711,8.8
5.54,0,0.5,0,0.643,0,0.622,3.4
14.71,0,0,0,0.747,0,0.785,9.5
12.04,0,3.8,0,0.703,0,0.830,11
10.29,0,2,0,0.710,0,0.763,10
9.75,0,0,0,0.658,0,0.781,9
6.5,0,0,0,0.725,0,0.711,7.5
10.04,0,0.4,0,0.725,0,0.841,12.7
6.5,0,0,0,0.662,0,0.507,1
7.29,0,0,0,0.896,0,0.763,8.3
6.5,0,3.4,0,0.662,0,0.889,13.3
7.87,0,2.3,0,0.684,0,0.800,10.1
11.17,0,0.1,0,0.680,0,0.819,13.3
11,0,1.1,0,0.654,0,0.641,6.2
6.5,0,0,0,0.662,0,0.674,6
5.5,0,0,0,0.751,0,0.600,2.5
5.91,0,0,0,0.762,0,0.578,3
8.21,0,0,0,0.788,0,0.596,2.7
4.33,0,0,0,0.952,0,0.685,7.2
4.33,0,0,0,0.833,0,0.656,4.5
5.41,0,0,0,0.799,0,0.804,10.4
4.08,0,0,0,0.758,0,0.704,5.5
2.62,0,0,0,0.732,0,0.722,6.7
3.13,0,0,0,0.788,0,0.826,11.6
10.5,0,4.1,0,0.684,0,0.807,9.6
7,0,0,0,0.703,0,0.763,10.8
12.58,0,0,0,0.770,0,0.852,12.8
13.5,0,0,0,0.621,0,0.693,7.4
14.09,0,2.1,0,0.736,0,0.800,10.3
11.25,0,1.6,0,0.688,0,0.785,11.2
8.38,0,0,0,0.703,0,0.763,10.6
6.58,0,0,0,0.606,0,0.730,10.7
6.67,0,4.3,0,0.658,0,0.656,5.7
15.67,0,0,2,0.561,0,0.659,8.8
6.92,0,0,0,0.662,0,0.604,3.8
7.79,0,3.6,0,0.665,0,0.748,10.3
11.08,0,0.4,0,0.636,0,0.659,6.6
9.46,0,3.4,0,0.684,0,0.693,7.6
7.62,0,0.2,0,0.703,0,0.804,11.8
13.13,0,3.8,0,0.665,0,0.715,6.1
13.59,0,0.4,0,0.710,0,0.744,9.4
9,0,3.6,0,0.662,0,0.804,11.4
19.62,0,3.3,0,0.647,0,0.789,10.5
14.62,0,0.2,0,0.580,0,0.756,10
7.41,0,0,0,0.580,0,0.696,4.7
8.33,0,0,0,0.617,0,0.722,6.6
9.59,0,0.5,0,0.584,0,0.763,11.1
14.12,0,0,0,0.435,0,0.493,0.5
22.63,0,0,0,0.435,0,0.570,4.5
16.13,0,0,0,0.457,0,0.704,8.8
6.5,0,2.6,0,0.439,0,0.681,7.7
3.67,0,0.1,0,0.294,0,0.519,5
2.54,0,0.5,0,0.346,0,0.537,4.1
2.92,0,0,0,0.379,0,0.426,-1
4.08,0,0,0,0.312,1,0.319,-4.1
2.67,0,0,0,0.342,0,0.422,1.1
2.71,0,0,0,0.305,0,0.485,2.3
4.42,0,0,0,0.242,0,0.437,0.1
7.54,0,0,0,0.245,0,0.456,1.7
15.04,0,1.8,0,0.249,0,0.474,2.8
8.71,0,0,0,0.271,0,0.337,-5.3
11.34,0,0,0,0.204,0,0.493,0.5
12.25,0,0,2,0.245,0,0.437,-1.1
15.29,0,0,0,0.394,0,0.481,1
2.62,0,0,0,0.361,0,0.559,2.2
7.58,0,0,0,0.416,0,0.481,1.1
1.92,0,0,0,0.349,0,0.378,-2.4
3,0,0.1,0,0.312,0,0.415,1.6
9.92,0,0.8,0,0.353,0,0.481,-0.5
6.34,0,0,0,0.193,1,0.322,-3.3
9.08,0,0,0,0.245,0,0.344,-3.4
7.12,0,0,0,0.275,0,0.374,-1.8
11.08,0,0.9,0,0.375,1,0.315,-5
15.87,0,0,0,0.353,0,0.519,2.7
17.25,0,0.9,0,0.413,0,0.537,3.8
19,0,2.8,2,0.413,0,0.433,0.5
22.92,0,0.9,0,0.420,0,0.456,2
17.67,0,0.4,0,0.457,0,0.667,7
15.34,0,0.8,0,0.442,0,0.681,7.3
16.79,0,0.5,0,0.338,0,0.541,2.3
15.5,0,0.6,0,0.342,0,0.467,0.7
7.25,0,0,0,0.230,2,0.352,-2.5
5.63,0,0,0,0.208,1,0.107,-9.4
5.88,0,0,0,0.208,3,0.178,-6.7
7.21,0,0,2,0.230,1,0.241,-6.6
7.54,0,0,0,0.238,1,0.144,-9
8.5,0,0,0,0.290,0,0.459,3.4
9.67,0,0,0,0.316,1,0.248,-6.6
20.3,0,1.4,0,0.312,0,0.507,0.5
17.04,0,2.6,0,0.323,0,0.496,3.3
13.88,0,2.9,0,0.316,0,0.533,3.6
12.96,0,2.7,0,0.208,0,0.496,3.7
12.83,0,4.8,0,0.208,0,0.400,1.1
24,0,1.2,0,0.126,0,0.341,-0.4
16.38,0,0,0,0.126,0,0.333,0
9.67,0,0,0,0.104,0,0.389,0.3
18.29,0,1.8,0,0.190,0,0.374,0
8.92,0,0.5,0,0.517,0,0.496,2.7
15.04,0,1.3,0,0.401,0,0.437,2.8
16.25,0,2,2,0.413,0,0.615,4.4
13.79,0,0,0,0.498,0,0.615,6.6
8.46,0,0,0,0.439,0,0.596,4.4
5.88,0,0,0,0.454,0,0.411,-3.8
8.87,0,0,0,0.420,1,0.285,-6.1
6.04,0,0,0,0.338,0,0.333,-5.4
4.83,0,0,0,0.212,0,0.396,2.7
7.83,0,0.2,0,0.349,1,0.259,-5.6
7.67,0,1.6,0,0.257,0,0.422,-2.7
5.88,0,0,0,0.216,0,0.344,-4.7
10.08,0,1.2,0,0.190,1,0.330,-4.6
9.5,0,0.3,0,0.264,0,0.415,-2
10.29,0,0.1,0,0.294,0,0.396,-1
10.67,0,0,2,0.245,0,0.519,4.4
15.16,0,0,2,0.375,0,0.452,-3.6
13.21,0,0.4,0,0.480,0,0.596,4.3
6.54,0,0,0,0.375,0,0.341,-4.3
23.13,0,0.9,0,0.216,0,0.396,0
11.34,0,0.8,0,0.368,0,0.511,2.2
8.71,0,1.7,0,0.416,0,0.567,1.8
6.08,0,0.2,0,0.338,0,0.570,6.6
11,0,2.8,0,0.461,0,0.478,-0.7
15.37,0,0.1,0,0.387,0,0.441,0.3
6,0,2.8,0,0.383,1,0.293,-5
8.92,0,0.5,0,0.290,0,0.548,6.1
7.71,0,0.3,0,0.271,0,0.519,4.4
7.71,0,0,0,0.253,0,0.344,-3.1
10.58,0,0,0,0.216,0,0.489,-0.5
12.04,0,0.3,0,0.249,0,0.493,3.4
10.63,0,0.1,0,0.294,0,0.363,-2.3
11.83,0,0,0,0.271,0,0.411,-1
12.75,0,0,0,0.290,0,0.374,-1.4
6.58,0,5,0,0.416,0,0.352,-3.2
7.33,0,0,0,0.416,0,0.448,-1.5
7.29,0,0,0,0.472,1,0.296,-3.6
11.63,0,0,0,0.524,2,0.559,2.8
18.05,0,0.4,0,0.532,0,0.622,4
8.54,0,0,0,0.498,0,0.381,-1.6
10.04,0,1.1,0,0.528,0,0.600,2.8
14.37,0,0.1,0,0.487,0,0.693,8.2
15.96,0,2.2,0,0.476,0,0.496,1.4
19.04,0,1,0,0.457,0,0.511,3.4
10.71,0,0.7,0,0.524,0,0.600,5
12.79,0,0.5,0,0.476,0,0.596,6.1
12.87,0,0,0,0.450,0,0.615,5.5
4.75,0,1,0,0.468,0,0.419,-1.2
9.25,0,3.2,0,0.401,0,0.463,-1
5.41,0,4.5,0,0.346,0,0.559,4.6
9.04,0,2.5,0,0.431,0,0.496,1.8
9.79,0,0,0,0.546,0,0.522,1.4
12.29,0,0,0,0.546,0,0.641,7.8
7.21,0,2.4,0,0.546,0,0.707,4
11.42,0,2.5,0,0.535,0,0.693,8.6
11.63,0,5.8,0,0.580,0,0.681,7.7
15.09,0,2.8,0,0.532,0,0.619,5.7
14.5,0,3.4,0,0.513,0,0.581,4.8
11.08,0,4.5,0,0.524,0,0.556,3.3
9.79,0,1.1,0,0.621,0,0.641,7.7
20.08,0,3.4,0,0.561,0,0.648,5.4
19.41,0,2.2,0,0.587,0,0.611,5.6
15.54,0,0,2,0.561,0,0.574,4.4
9.75,0,1,0,0.565,0,0.704,6.1
16.66,0,3.6,0,0.587,0,0.722,7.8
19.7,0,3.2,0,0.550,0,0.574,4.4
15.92,0,6,0,0.539,0,0.600,4.3
15.04,0,0,0,0.662,0,0.659,8
14.37,0,0,0,0.684,0,0.767,9.4
11.54,0,0,0,0.584,0,0.578,3.3
9.92,0,0,0,0.602,0,0.522,2.4
5.25,0,0,0,0.688,0,0.519,1.7
5.66,0,0,0,0.751,0,0.641,6.1
7.08,0,0.5,0,0.662,0,0.607,3.4
13.46,0,0.4,0,0.684,0,0.778,9.8
7.33,0,3.8,0,0.565,0,0.600,4.1
7.54,0,0.8,0,0.569,0,0.548,2.3
6.96,0,0,0,0.628,0,0.770,9.3
10.71,0,0.7,0,0.476,0,0.678,7.5
10.92,0,0,0,0.613,0,0.619,5.3
11.08,0,0,0,0.680,0,0.711,8
11.29,0,0,0,0.699,0,0.726,9
6.13,0,0,0,0.725,0,0.578,3.1
8.87,0,0,0,0.710,0,0.704,5.8
10.54,0,0.5,0,0.561,0,0.741,9.3
8.17,0,0,0,0.703,0,0.759,11.2
3.08,0,2.8,0,0.691,0,0.559,3.2
13.54,0,0.3,0,0.580,0,0.763,7.7
17.37,0,3,0,0.405,0,0.681,8.7
10.67,0,1.4,0,0.428,0,0.581,6.1
7.67,0,3.8,0,0.602,0,0.600,5
15.5,0,0.4,0,0.688,0,0.685,9.5
11.12,0,1,0,0.684,0,0.785,9.4
8.25,0,4.2,0,0.543,0,0.744,6.2
10.04,0,0.4,0,0.684,0,0.759,10.3
10.71,0,0.3,0,0.673,0,0.685,7.1
8.58,0,5.9,0,0.643,0,0.800,10.7
11.21,0,0.4,0,0.710,0,0.748,9.3
8.63,0,0,0,0.677,0,0.726,7.3
13.25,0,1.3,0,0.602,0,0.600,4.3
15.37,0,0,0,0.617,0,0.637,5.5
13.21,0,0.1,0,0.717,0,0.693,7.5
6.17,0,4,0,0.610,0,0.722,8.5
5.91,0,0,0,0.647,0,0.644,4.7
13.25,0,0,0,0.561,0,0.567,2.8
10.25,0,0,0,0.610,0,0.496,1.8
3.67,0,1.2,0,0.543,0,0.722,8.5
4.63,0,1.3,0,0.599,0,0.693,10.3
4.29,0,0,0,0.751,0,0.596,3.4
3.92,0,0,0,0.732,0,0.726,7.1
8,0,2.4,0,0.814,0,0.726,8.1
10.41,0,2.1,0,0.699,0,0.830,12.7
5.21,0,0,0,0.643,0,0.815,12.6
8.92,0,0,0,0.747,0,0.659,5.7
14.88,0,0,0,0.770,0,0.796,10
7.92,0,0,0,0.755,0,0.778,9.7
9.87,0,0,0,0.677,0,0.804,11.4
6.58,0,0,0,0.617,0,0.752,10.6
5.21,0,0,0,0.647,0,0.544,2.7
8.42,0,0.2,0,0.665,0,0.678,8.3
6.42,0,0,0,0.647,0,0.615,3.8
19.41,0,1.9,0,0.643,0,0.744,7.3
16.21,0,4.3,0,0.602,0,0.722,8.5
14.5,0,0,0,0.658,0,0.667,6.8
12.25,0,3,0,0.684,0,0.619,5.5
13.42,0,0,0,0.766,0,0.826,12.2
6.54,0,0,0,0.662,0,0.707,7.7
9.54,0,2,0,0.740,0,0.726,7
13.54,0,0,0,0.788,0,0.867,14
4.29,0,3.8,0,0.833,0,0.667,4.8
4.08,0,0.2,0,0.773,0,0.867,12.2
7.79,0,1,0,0.684,0,0.852,12.6
2.5,0,3.9,0,0.677,0,0.785,8.8
1.96,0,0.3,0,0.729,0,0.785,9.7
4.63,0,0,0,0.792,0,0.804,9.4
6.83,0,0,0,0.777,0,0.881,14.6
9.96,0,0,0,0.829,0,0.867,11
8.17,0,0,0,0.810,0,0.907,14.6
3.96,0,0,0,0.736,0,0.707,7.8
15.09,0,0,0,0.803,0,0.789,10.6
11.96,0,0.2,0,0.788,0,0.822,12.4
6.71,0,0,0,0.732,0,0.881,13.6
10.13,0,0.2,0,0.833,0,0.881,14.2
13.79,0,0.2,0,0.736,0,0.833,12.8
16.54,0,0,0,0.684,0,0.830,12.2
14.04,0,0,0,0.762,0,0.852,12.7
8.71,0,0,0,0.885,0,0.907,15
4.42,0,0,0,0.814,0,0.907,12.4
6.83,0,3.3,0,0.703,0,0.759,11.1
6.96,0,1.3,0,0.688,0,0.744,10.2
4.88,0,1.2,0,0.714,0,0.622,8.8
3.08,0,4.5,0,0.636,0,0.819,6.4
3.63,0,0,0,0.703,0,0.807,11.6
2.46,0,0,0,0.680,0,0.611,5.8
5.09,0,0,0,0.639,0,0.804,10.5
3.04,0,0,0,0.703,0,0.707,6.7
2.79,0,2.4,0,0.710,0,0.685,6.4
15.09,0,1,0,0.606,0,0.844,13.3
10.67,0,0,0,0.576,0,0.604,5.1
5.71,0,2.6,0,0.580,0,0.493,-0.4
4.25,0,0,0,0.587,0,0.456,-0.4
9.42,0,0,0,0.714,0,0.622,4.1
13.62,0,1.2,0,0.699,0,0.841,9.5
15.34,0,0,0,0.803,0,0.926,13.2
13,0,0,0,0.829,0,0.915,14.3
8.04,0,0,0,0.766,0,0.837,8.6
7.12,0,0,0,0.862,0,0.719,5.6
11.34,0,5,0,0.673,0,0.759,7.7
9.25,0,0,0,0.643,0,0.633,-1.6
4.38,0,0,0,0.628,0,0.452,1
7.21,0,0,0,0.621,0,0.489,1.1
11.29,0,0.1,0,0.639,0,0.715,6.7
10,0,0,0,0.747,0,0.785,9.2
2.04,0,0,0,0.684,0,0.744,8.3
2.46,0,0,0,0.710,0,0.678,8.1
8.58,0,0,0,0.684,0,0.741,9.1
10.37,0,0.2,0,0.758,0,0.681,7.3
13.29,0,0.8,0,0.751,0,0.848,12.8
14.58,0,0.1,0,0.814,0,0.952,15.6
10.75,0,0,0,0.710,0,0.867,13.9
4.5,0,0,0,0.587,0,0.552,2.2
9.17,0,0.4,0,0.725,0,0.652,5
9.42,0,3.6,0,0.732,0,0.867,14
8.08,0,0.6,0,0.584,0,0.733,8.7
9.29,0,0.9,0,0.569,0,0.600,4.6
10.75,0,1.9,0,0.643,0,0.622,5.1
15.12,0,0,0,0.602,0,0.652,6.4
10.17,0,0.4,0,0.550,0,0.552,4.1
8.33,0,3.5,0,0.632,0,0.456,-0.2
6.83,0,2,0,0.770,0,0.730,6.4
15.04,0,1.4,0,0.662,0,0.811,7.9
10.58,0,1.4,0,0.688,0,0.807,8.8
9.08,0,0.7,0,0.602,0,0.744,6.2
6.25,0,0,0,0.625,0,0.681,6.7
6.87,0,0,0,0.717,0,0.485,-0.9
5.88,0,0,0,0.706,0,0.607,2.9
3.67,0,0,0,0.587,0,0.581,1.1
3.08,0,0,0,0.602,0,0.600,2.3
6.96,0,0,0,0.539,0,0.556,1.3
7.67,0,0,0,0.606,0,0.459,-0.9
6.87,0,5,0,0.647,0,0.459,2.2
10.41,0,3.6,0,0.599,0,0.830,11.6
18.71,0,0.5,0,0.509,0,0.741,8.2
14.83,0,2.3,0,0.446,0,0.619,3.7
15.37,0,1.6,0,0.390,0,0.356,0
8.71,0,0.4,0,0.390,0,0.393,-1.4
6.75,0,2.2,0,0.454,0,0.393,-1.6
9.08,0,2.7,0,0.338,0,0.333,-1.1
9.13,0,2.7,0,0.390,0,0.456,4
12.04,0,0.5,0,0.401,0,0.522,2.9
10.13,0,0.4,0,0.480,0,0.544,1.1
5.58,0,0,0,0.465,0,0.400,-1.8
5.17,0,0,0,0.639,0,0.770,6.6
5.75,0,1.2,0,0.599,0,0.563,1.7
5.25,0,0,0,0.576,0,0.711,6.7
12,0,1.6,0,0.390,0,0.563,3.9
14.71,0,0.1,0,0.349,0,0.519,-0.7
10.37,0,1,0,0.413,0,0.363,-2.6
6.25,0,0.9,0,0.539,0,0.567,3.7
2.54,0,0,0,0.572,0,0.622,3.3
2.46,0,0,0,0.494,0,0.419,-1.2
1.92,0,0,0,0.387,0,0.496,0.1
1.75,0,0,0,0.439,0,0.515,2.1
6.21,0,0.3,0,0.480,0,0.622,6.1
2.46,0,0,0,0.454,0,0.533,2.2
6.17,0,0,0,0.409,0,0.374,-1.9
8.54,0,0,0,0.401,0,0.411,-2.2
9.67,0,0,0,0.398,0,0.533,0.4
8,0,0,0,0.383,0,0.637,7.2
5.88,0,0,0,0.364,0,0.600,6.4
9.21,0,0,0,0.379,0,0.400,-2.6
7.71,0,0,0,0.353,0,0.356,-4
3.46,0,0,0,0.379,1,0.148,-7.8
2.96,0,0.7,0,0.383,1,0.148,-7.9
8.96,0,0.3,0,0.528,3,0.189,-6.9
14.04,0,1.9,0,0.535,0,0.456,3.2
16.13,0,0.6,0,0.535,0,0.626,5.7
24.08,0,1.1,0,0.428,0,0.674,7.2
17.88,0,2.2,0,0.480,0,0.533,2.8
9.62,0,5.2,0,0.584,0,0.548,2.8
12.42,0,0.3,0,0.539,0,0.607,2.8
11.29,0,0,0,0.472,0,0.737,8.3
9.25,0,0,0,0.416,0,0.522,-0.2
6.46,0,0.3,0,0.517,0,0.504,1.6
11.63,0,0.1,0,0.483,2,0.567,6.8
13.54,0,0,0,0.524,0,0.615,7.8
8.5,0,0.1,0,0.502,0,0.696,8.2
13.21,0,1.7,0,0.494,0,0.700,8
16.08,0,0,0,0.264,0,0.411,-1
15.41,0,1.6,0,0.257,0,0.348,-2.4
11.12,0,0,0,0.257,1,0.300,-6
12.42,4,0,0,0.294,0,0.415,-1.1
15.04,0,0.7,0,0.387,1,0.281,-6.1
15.79,0,0.1,0,0.271,0,0.456,1.4
9.54,0,1.4,0,0.401,0,0.411,-1
16.42,0,0.4,0,0.454,0,0.374,-0.4
13.54,4,0,0,0.413,0,0.585,7.2
7.17,0,0,0,0.309,0,0.341,-4
15.71,0,0,0,0.465,0,0.496,2.3
8.87,0,0,0,0.193,0,0.337,-4.4
8.21,0,0.2,0,0.253,0,0.496,0
3.21,0,0,0,0.167,0,0.404,-1.7
6.29,0,0.5,0,0.268,0,0.363,-0.3
10.21,4,0,0,0.279,0,0.400,-0.1
14.37,0,0.3,0,0.268,0,0.452,-0.6
15.04,4,0,2,0.264,0,0.530,3
10.34,0,4.3,0,0.234,0,0.504,2.7
10.17,0,0,0,0.212,0,0.374,-1.2
10.79,4,0,0,0.190,1,0.233,-5.7
10.37,0,2.8,0,0.160,1,0.300,-2.2
6.96,0,1.8,0,0.297,1,0.200,-7.9
20.3,0,3.4,0,0.212,0,0.519,3.9
19.83,0,0.3,0,0.234,0,0.393,-0.4
8.67,0,0,0,0.416,0,0.559,-2.2
8.12,0,0,0,0.625,0,0.400,-3.2
8.71,0,0,0,0.561,0,0.333,-4.3
11.34,0,1,0,0.517,0,0.600,4.4
4.88,0,1.4,0,0.401,0,0.570,2.7
9.17,0,1,0,0.439,0,0.356,-3.3
8.08,0,0.2,0,0.442,0,0.404,-2.2
9.92,0,0.6,0,0.520,2,0.593,4.6
18,0,0.9,0,0.457,0,0.578,6.8
19.55,0,3.9,0,0.353,0,0.470,1.7
18.66,0,0.6,0,0.454,0,0.496,1.9
10.37,0,4.3,0,0.483,0,0.459,-0.1
12.46,0,1.3,0,0.546,0,0.607,6.7
15.34,0,0.1,0,0.539,0,0.726,9.7
16.21,0,0.8,0,0.539,0,0.619,5.3
21.87,0,0.8,0,0.461,0,0.478,0.6
20.38,0,0.1,0,0.439,0,0.359,-0.8
8.04,0,0,0,0.335,0,0.396,-1.9
7.5,4,0,0,0.379,1,0.270,-6.1
4.79,0,2,0,0.454,0,0.459,-2.9
8.67,0,0.2,0,0.480,0,0.481,1.8
21.5,0,2.8,0,0.461,0,0.533,2.2
12.21,0,2.7,0,0.442,0,0.533,2.8
8.33,0,0.3,0,0.387,0,0.533,4.6
6.92,0,0,0,0.401,0,0.563,3.4
10.25,0,0,0,0.457,0,0.600,3.3
4.17,4,0,0,0.535,0,0.622,5
1.83,0,0,0,0.599,0,0.415,-1.1
3.79,4,0,0,0.703,0,0.511,3.7
3.46,0,1.5,0,0.576,0,0.726,10
4.58,0,1.3,0,0.565,0,0.644,5.7
2.5,0,0,0,0.632,0,0.615,4.4
3.54,0,0,0,0.710,0,0.733,9.9
4.42,0,1.3,0,0.732,0,0.585,3.9
6.29,0,5,0,0.680,0,0.781,11.7
5.46,0,0.2,0,0.770,0,0.763,9.4
8.5,4,0,0,0.684,0,0.707,6.8
15.67,0,0.2,0,0.770,0,0.811,12.2
11.17,0,3.3,0,0.703,0,0.748,9.4
13.42,0,5.5,0,0.710,0,0.681,6.7
24.21,0,0.4,0,0.688,0,0.748,11.6
13.83,0,0.3,0,0.717,0,0.730,8.3
10.92,0,2.2,0,0.710,0,0.711,10.1
21.04,0,1.4,0,0.710,0,0.793,10.7
16.92,0,1.2,0,0.669,0,0.744,9.4
15.12,0,1,0,0.684,0,0.856,13.4
17,0,1.1,0,0.665,0,0.700,7.2
8.83,4,0,0,0.639,0,0.667,4.4
11.63,0,0.1,0,0.736,0,0.681,6.7
4.12,0,0.2,0,0.740,0,0.844,13.7
8.5,4,0,0,0.714,0,0.844,12.1
21.79,0,0.8,0,0.342,0,0.496,2
17.46,0,0.6,0,0.335,0,0.504,0.6
7.83,0,0.9,0,0.271,0,0.378,-1.8
15.46,0,5.1,0,0.480,1,0.300,-3.9
12.83,0,2.8,0,0.480,0,0.559,7.1
10.96,0,1.6,0,0.483,0,0.626,3.9
10.5,0,0,0,0.454,0,0.663,8.3
12.5,0,0,0,0.416,0,0.593,6.1
13.37,0,2.3,0,0.353,0,0.567,2.8
19.55,0,0,0,0.227,0,0.396,-1.3
16.46,0,0,0,0.167,0,0.396,1.7
12.29,0,0,0,0.149,0,0.437,1
10.83,4,0,0,0.141,0,0.430,-2.1
6.29,4,0,0,0.078,1,0.259,-4.9
4.71,0,3.5,0,0.074,1,0.259,-1.1
2.79,0,1.8,0,0.141,1,0.293,-4.1
8.5,4,0,0,0.126,0,0.333,-0.4
14.33,4,0,0,0.119,1,0.311,-1.7
12.33,0,0,0,0.115,1,0.319,0
